id,count,machine_id
1,10,1
2,14,1
3,4,1
4,6,1
5,8,1
6,16,2
7,24,2
8,12,3
9,16,3
10,20,3
11,28,3
12,8,3
13,14,4
14,4,4
15,6,4
16,8,4
17,12,5
18,16,5
19,20,5
20,28,5
21,8,5
22,10,6
23,14,6
24,4,6
25,6,6
26,16,7
27,24,7
28,40,7
29,56,7
30,12,8
31,20,8
32,28,8
33,8,8
34,10,9
35,14,9
36,4,9
37,6,9
38,8,9
39,16,10
40,32,10
41,40,10
42,56,10
43,12,11
44,16,11
45,20,11
46,28,11
47,8,11
48,2,1
49,32,2
50,8,2
51,4,3
52,10,12
53,14,12
54,2,12
55,4,12
56,6,12
57,8,12
58,4,5
59,2,6
60,32,7
61,8,7
62,16,8
63,4,8
64,2,9
65,8,10
66,4,11
67,24,3
68,16,6
69,24,8
70,12,9
71,12,1
72,40,2
73,48,2
74,56,2
75,12,12
76,12,6
77,8,6
78,48,7
79,24,10
80,48,10
81,24,11
