id,exp_id,config_id,time,num
1,1,1,936.59,1
2,1,2,837.68,1
3,1,3,2804.23,1
4,1,4,2422.51,1
5,1,5,1219.74,1
6,1,6,4385.07,1
7,1,7,2563.61,1
8,1,8,1702.94,1
9,1,9,1341.39,1
10,1,10,1130.05,1
11,1,11,1334.33,1
12,1,12,2927.78,1
13,1,13,509.41,1
14,1,14,1481.37,1
15,1,15,669.5,1
16,1,16,576.96,1
17,1,17,626.32,1
18,1,18,567.32,1
19,1,19,534.65,1
20,1,20,551.56,1
21,1,21,1535.11,1
22,1,22,518.21,1
23,1,23,500.51,1
24,1,24,2827.75,1
25,1,25,1427.25,1
26,1,26,2290.87,1
27,1,27,1306.01,1
28,1,28,949.94,1
29,1,29,904.27,1
30,1,30,1273.45,1
31,1,31,861.06,1
32,1,32,513.9,1
33,1,33,2146.97,1
34,1,34,542.99,1
35,1,35,520.03,1
36,1,36,1509.87,1
37,1,37,662.69,1
38,1,38,589.8,1
39,1,39,1582.1,1
40,1,40,714.84,1
41,1,41,702.86,1
42,1,42,765.53,1
43,1,43,638.62,1
44,1,44,566.4,1
45,1,45,534.74,1
46,1,46,558.32,1
47,1,47,1193.13,1
48,2,2,694.54,1
49,2,48,7576.74,1
50,2,3,3059.14,1
51,2,4,2205.41,1
52,2,5,1185.96,1
53,2,6,3211.84,1
54,2,49,1205.88,1
55,2,50,5944.13,1
56,2,9,1057.33,1
57,2,10,942.58,1
58,2,11,675.61,1
59,2,51,5069.17,1
60,2,12,2739.26,1
61,2,52,413.38,1
62,2,53,397.4,1
63,2,54,7803.09,1
64,2,55,705.83,1
65,2,56,533.54,1
66,2,57,446.91,1
67,2,17,510.31,1
68,2,18,469.52,1
69,2,19,439.66,1
70,2,20,473.37,1
71,2,58,5186.72,1
72,2,21,648.12,1
73,2,22,429.24,1
74,2,23,408.35,1
75,2,59,8813.93,1
76,2,24,2827.82,1
77,2,25,1271.12,1
78,2,26,2191.92,1
79,2,27,1625.18,1
80,2,60,591.51,1
81,2,28,549.06,1
82,2,29,540.45,1
83,2,61,5449.65,1
84,2,30,1182.67,1
85,2,62,476.11,1
86,2,31,417.88,1
87,2,32,453.31,1
88,2,63,5857.7,1
89,2,33,2456.36,1
90,2,34,420.05,1
91,2,35,393.83,1
92,2,64,7612.24,1
93,2,36,707,1
94,2,37,553.86,1
95,2,38,513.39,1
96,2,39,1731.75,1
97,2,40,579.81,1
98,2,41,674.37,1
99,2,42,722.39,1
100,2,65,4029.94,1
101,2,43,543.5,1
102,2,44,465.18,1
103,2,45,432.32,1
104,2,46,441.84,1
