framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
spark1.5,pearson,large,1.185689767,1.362950874,2.027971009,1,1.166113264,1.441815712,1.502700859,1.567743397,1.947905802,1.094926579,1.127506651,1.578409694,1.961901287,1.997107404,2.815093179,1.565031873,1.561565591,2.250948909
spark1.5,pearson,medium,1.193023645,1.297142655,2.24540887,1,1.11212178,1.606866061,1.612803332,1.537166156,2.147072861,1.185196251,1.107324147,1.508099745,1.738730097,1.919575658,2.896869616,1.365667386,1.477564027,1.801876417
spark1.5,pearson,small,1.218544488,1.235162863,1.846150647,1,1.012540602,1.567986188,1.329057951,1.671114843,2.524259219,1.040002581,1.207250329,1.748049281,1.697502865,2.066292028,3.116234821,1.306328588,1.616834213,2.441041936
spark1.5,pic,large,2.930678137,1.225242652,1.774764713,2.503688843,1.217149777,1.725198839,1.391872305,1.425053814,2.331615823,1,1.203958623,1.724328224,1.290046343,2.168210747,2.992432921,1.05522568,1.527231628,2.186039471
spark1.5,pic,medium,1.526005656,1.270286434,2.121906008,1.392055795,1,1.710578218,1.171479094,1.657959047,2.846783153,1.154468147,1.311346488,1.872315128,1.356153094,2.004242362,3.403167798,1.06963074,1.517652203,2.47417263
spark1.5,pic,small,1.314588405,1.715591324,3.124250379,1.082111565,1.350937767,3.818380174,1.559736348,2.168599998,4.008506905,1,1.544951027,2.714216071,1.772823907,2.917262039,5.091242454,1.450598385,2.072699613,3.703297447
spark1.5,random-forest,large,1.309324875,1.199320513,1.829175532,1.087123399,1.001166317,1.668370599,1.241987262,1.71194238,2.486377253,1,1.241245878,1.766694628,1.658483208,2.193871175,3.45573481,1.547766647,1.685070285,2.381066982
spark1.5,random-forest,small,1.161661499,1.348495921,2.199086296,1.096684269,1.179763636,2.773036019,1.28841519,1.729168628,3.339742241,1,1.261976198,2.177823014,1.678294231,2.184325366,3.617601238,1.442577254,1.663844398,4.658920712
spark1.5,regression,large,3.764294552,4.398701488,4.904536593,3.298991731,3.862329085,4.261570424,5.536184112,5.857131696,1.446547157,4.253445763,4.398572243,1.080424836,6.890035699,1.257198848,1.208324751,5.725685271,1.022229998,1
spark1.5,regression,medium,4.026065817,4.772760443,5.274080788,3.598808226,4.059097804,4.584139596,5.739219427,6.130429909,1.352314917,4.415511722,4.700256523,1,7.444611417,1.264876911,1.35609557,6.025169748,1.062717401,1.054942774
spark1.5,regression,small,4.583774834,5.540922244,1.43508408,3.97532058,4.359798846,1.260152277,6.661035172,1.332511827,1.44522409,5.136513243,1,1.096271927,8.705337636,1.337852454,1.937685147,7.003207764,1.157349855,1.500331739
spark1.5,spearman,large,1.252345873,1.453420727,1.584186851,1.019659699,1.202983471,1.284072498,1.566151291,1.654295208,2.055799056,1,1.183441424,1.449472749,1.436675427,2.086806149,2.732285064,1.112263683,1.512250581,1.997989481
spark1.5,spearman,medium,1.213657959,1.384469708,1.368333579,1,1.120946312,1.141521155,1.751265529,1.429738216,1.706962647,1.06288018,1.022576944,1.188636364,1.530372942,1.671558808,2.175544952,1.168704004,1.282422055,1.579435604
spark1.5,spearman,small,1.377178345,1.476488401,1.826815113,1,1.16142474,1.585410463,1.421155359,1.872858383,2.459621476,1.058210762,1.236474167,1.681135465,1.533654898,2.119435315,3.141798199,1.158686607,1.57136297,2.365104359
spark1.5,summary-statistics,large,1.183190511,1.33891909,1.736238723,1,1.230960995,1.558382461,1.571214198,1.673141393,2.358051002,1.050162411,1.357847856,1.627027619,1.972102499,2.145064995,2.88238436,1.395807491,1.804347758,2.271044615
spark1.5,summary-statistics,medium,1.154960433,1.563665425,2.787767934,1,1.429332907,2.376706376,1.511474069,2.033868422,3.681282182,1.080229615,1.564842636,2.585392958,2.112750206,2.620053075,4.686975197,1.493356918,2.283319191,3.55201984
spark1.5,summary-statistics,small,1.289273017,1.85835911,3.664889858,1.041838798,1.386581251,3.101609034,1.372845221,2.261399262,4.603970633,1,1.664921226,3.314062104,1.757694963,2.69853648,5.903937431,1.369628509,2.311015133,5.166182333
spark1.5,svd,large,1.114557812,1.168160885,1.469906661,1,1.044607375,1.179966846,1.510039856,1.574525064,1.799133465,1.072129438,1.117432263,1.260871935,1.876610904,1.974325162,2.205880527,1.422437934,1.48371177,1.673165016
spark1.5,svd,medium,1.156845375,1.162361259,1.564904615,1,1.022987277,1.421564887,1.510587094,1.563598968,2.111586143,1.071854966,1.090942996,1.60318427,1.875224879,1.912263788,2.66689557,1.431029078,1.446640618,2.115098314
spark1.5,svd,small,1.10941275,1.216410118,1.562538962,1,1.064400535,1.345814534,1.511718409,1.617268965,1.957402696,1.070546021,1.15077773,1.45505849,1.880624157,2.028610725,2.629395365,1.442253909,1.662077524,2.076090341
spark1.5,word2vec,large,1.225991905,1.249875995,1.400736713,1,1.022529891,1.135808342,1.616969619,1.687507263,1.8575703,1.165437955,1.220038363,1.365901473,2.029072014,2.096838889,2.32222373,1.565285828,1.881777627,1.762233509
spark1.5,word2vec,medium,1.219142898,1.268025139,1.518321197,1,1.05797922,1.248237482,1.781498136,1.722408772,2.013730913,1.151836906,1.23670927,1.414251193,2.014861086,2.196605749,2.509456701,1.803280048,1.775335124,2.009925144
spark1.5,word2vec,small,1.511423696,1.557107099,1.74391607,1,1.23972151,1.413498503,1.626868653,1.809003128,2.260350401,1.226738552,1.770126619,1.65502871,2.05489864,2.363644486,2.883673805,1.60384741,1.932467725,3.605469083
,,,125.57325,113.8450245,141.639635,109.6268387,97.29977102,124.3824433,130.5279987,124.4991274,166.3285307,95.9387308,90.71817528,117.7784509,137.1924688,133.2722438,205.9203621,110.3920413,105.6863611,158.4111713
