framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
spark,wordcount,small,3.079166853,1.641719816,1.023571652,4.439364881,1.400584274,3.128919317,2.048169127,1.308795326,3.181035636,2.924222827,1.298537086,2.533584586,3.535970742,2.6324651,5.472079747,3.240644931,3.976472949,1
spark1.5,als,large,9.426368663,2.083268871,1.446311612,8.511037952,1.182347302,1.480449931,2.260743655,1.406864562,1.102690671,3.207846672,1.324435885,1.162919524,2.140647436,1.455742415,1.097299898,2.156002716,1.713833034,1
spark1.5,als,medium,4.331995684,1.353210952,1.133055596,3.795108553,2.959334205,1,2.079388312,1.402468862,1.407386983,2.038707652,1.299367196,1.315035418,2.064659393,1.372709966,1.251384393,2.016458062,1.60678932,1.1099169
spark1.5,als,small,3.311415658,1.336863936,1.096879245,2.981372456,1.449194513,1.081019614,2.144507353,1.519413879,1.204258653,3.040827111,1.275244881,1,1.986620384,1.362677226,1.078920333,2.754685259,1.572990234,1.047095739
spark1.5,block-matrix-mult,large,1.802863217,1.453629924,1,1.632112097,2.004550855,1.126696847,1.615720131,1.206904174,1.024461753,1.58554356,1.155433741,1.004280297,1.661913365,1.249106945,1.051186466,1.761294361,1.203048504,1.020287878
spark1.5,chi-sq-feature,large,2.908121359,1.820659307,1.224596836,2.707163721,1.72582331,1,3.262639321,1.975069505,1.595756387,3.49814329,1.916532266,1.681211706,3.181210563,2.124393883,1.123404436,3.803942718,2.211392635,1.141768234
spark1.5,chi-sq-feature,medium,2.534470379,1.623208708,1.190485975,2.242991674,1.486281698,1.330012694,2.648883384,1.76410163,1.092382542,2.896329823,1.718506795,1.078687773,2.716916457,1.737679736,1,3.195884178,2.257752987,1.005947741
spark1.5,chi-sq-feature,small,2.581651142,1.769154064,1.244979693,2.403577443,1.598038393,1,3.000960866,1.89110808,1.199797985,3.141512825,1.722234794,1.253720632,3.442778361,1.843517107,1.248811359,3.981504269,2.508566459,1.153139699
spark1.5,chi-sq-gof,medium,1.608900114,1.292879564,1.431889549,1.527765488,1,1.342007506,1.408520275,1.302454691,1.461953312,1.36200279,1.231995651,1.399870193,1.442715697,1.32843207,1.487285618,1.352649204,1.195805972,1.522902319
spark1.5,chi-sq-gof,small,2.444721789,1.240167798,1.315491087,1.204030879,1,1.242814986,1.226101197,1.269979729,1.423581409,1.175830033,1.260514645,1.326614094,1.237148618,1.29179515,1.442335712,1.275419472,1.218156403,1.490799519
spark1.5,chi-sq-mat,large,1.329238795,1.293284574,1.313518334,1.230015051,1,1.252672934,1.379742274,1.285057586,1.431503187,1.279534923,1.2155216,1.326379517,1.403367694,1.268971423,1.521549566,1.23156868,1.203890615,1.314917794
spark1.5,classification,large,21.92156813,11.63584847,6.234883881,20.50842553,10.75582099,5.839894864,24.07131385,12.33300292,1.022660825,22.78680017,12.04408607,1,24.11963842,1.770072666,1.02342309,23.27411933,1.653152764,1.078787124
