framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
spark,aggregation,large,3.231736527,2.581272749,1.148620406,2.648773042,3.321779969,1,2.791593284,1.691687214,1.163367383,2.606586826,1.456123048,1.055066338,2.634519197,1.625560643,1.143736057,2.565609957,1.496536339,1.076036163
spark,aggregation,medium,3.165347833,1.594537768,1.076292645,5.10458728,1.382944089,1.017917298,5.376263254,1.557403179,1.124313264,2.55556058,1.505776492,1,2.619802853,1.559324908,1.139630576,2.537552848,1.43650381,1.048031923
spark,aggregation,small,3.265579904,1.65142994,5.014556074,2.697505162,1.440834579,1.096257173,2.699136446,1.680804463,2.642703141,2.518771175,1.445933768,1,2.651521201,1.559176829,1.110950137,2.445180867,1.494450212,1.008703985
spark,als,large,3.579967849,1,1.639492443,3.527822065,2.636251038,1.844820998,1.818968811,1.452294678,1.305904365,2.589619596,2.081087847,1.528375476,2.323191862,1.031821117,1.690024113,2.416283452,1.865804488,1.52016655
spark,als,medium,2.077472286,3.295598139,2.577854151,3.652607096,3.49916684,2.622705918,3.318301743,2.56908283,1.844222269,3.1795575,2.968015923,1,2.536740031,1.390127057,2.123874656,1.980443889,1.351442986,2.496470643
spark,als,small,3.522084697,3.455401691,1.03910996,2.155897131,2.278408991,3.543250293,4.0745085,1.335603368,2.701178201,2.281770277,1.301395284,1,2.489557256,1.511125506,1.036869102,2.340032562,1.284396282,3.40776597
spark,bayes,large,10.61753708,3.543162793,1.483778099,11.4260719,5.446458165,1,8.687077721,1.796817235,1.215091574,8.726692304,1.780839672,1.174510262,3.648366124,1.732354566,2.664864233,3.873709259,1.765542005,1.099105511
spark,bayes,medium,7.903500254,1.495044774,1.079283612,9.390407053,1.322297745,1,3.984756708,1.544165472,1.213251954,4.207179297,2.123148533,2.483916709,2.847166351,2.884989442,2.122362479,2.649080625,2.828593887,1.067585271
spark,bayes,small,5.682651282,1.855804549,2.26750269,4.957017772,1.352873521,1.978814974,3.233424851,1.509498015,3.068007272,2.575483249,2.33500909,1,1.987737914,2.668348607,2.54279672,2.717471153,1.865692131,3.085983007
spark,join,large,2.665768129,1.645429598,1.155495653,2.299091748,4.218745447,1,3.781910243,1.650092282,1.225290204,4.27523192,1.500279275,3.629438049,2.723978824,1.652872893,1.2376876,2.641519744,1.523386274,1.121739764
spark,join,medium,2.552153247,1.711598634,1.13201328,2.391967421,1.687761244,1,2.940848401,1.603351088,1.196550983,2.687629876,1.46533069,1.054673132,2.576026465,1.733811833,1.179974682,2.448384169,1.615795256,1.225738649
spark,join,small,2.709519935,1.649446079,1.205220004,4.076735307,1.717543969,1,3.034825061,3.050485072,1.26454278,2.573173938,1.496676472,1.121512174,2.795593666,1.824397572,1.219465482,2.519309007,2.485848407,1.119321525
spark,lr,large,14.81171506,2.736926042,2.150630164,13.90785656,2.56371409,1,2.64137152,1.540589629,2.126021663,2.783673334,1.853522936,2.130064013,2.986433207,1.56030301,2.560059362,3.602265931,1.404434403,1.909174474
spark,lr,medium,11.46766832,2.510236943,3.37483205,10.30397321,1.345934014,1,1.988664719,1.841764593,2.525549702,1.853611721,2.418477681,3.730843055,2.159579006,1.336816737,3.334300156,1.855339205,1.264219753,1.000319904
spark,lr,small,7.381904308,3.172048856,1.785296695,7.058773282,2.712811866,1.727799164,1.59179304,1.35934016,1.664244589,2.249914025,1,1.670501315,2.018969859,1.467401795,3.010627558,1.638041778,1.010239286,1.454000865
spark,pagerank,large,6.846639787,2.666362407,1.619679279,5.240245072,2.302609632,1.083575209,3.716493085,1.703077186,2.180467816,4.264167794,1.618109823,2.002469103,3.460179141,1.51814397,1,3.461262657,1.450407796,1.067171432
spark,pagerank,medium,8.187288418,2.727648873,2.306515922,7.824049694,1.850326172,1.098679191,4.984180378,1.857752367,1.189394835,4.823866995,3.863792196,1.146481961,3.878752055,3.744328257,3.122473106,4.243280422,1.595331492,1
spark,pagerank,small,1.816321294,1.874937583,1.172381269,2.396013648,1.449338382,1.574941744,1.821432534,1.792623724,1.132878384,1.727460608,1.512018697,1.099624112,1.366587605,1.46682895,1,1.69664059,1.229055704,1.053331669
spark,scan,large,2.815415345,1.690332119,1.161124819,2.39140524,4.706732464,6.726471625,3.61744605,1.751370775,1.31161634,4.213018447,3.237026593,2.633513492,3.644127208,1.736458701,1.178504289,2.495104375,2.351231739,1
spark,scan,medium,1.436903575,3.890329013,1.163972369,1.340585387,1,1.052592223,1.504272896,2.683770118,2.467525993,1.377617149,1.066229882,1.203247401,1.372845748,1.177610027,2.700790486,2.206808147,1.099843327,1.143889759
spark,scan,small,1.455116729,4.584450696,1.205619086,1.358006649,1,1.822695554,1.542946915,2.94227467,2.478206861,1.406671294,1.152679844,1.205692156,1.46611377,1.192576084,1.26279639,2.366482774,1.788608381,1.150560813
spark,sort,large,2.508764105,2.027761218,1.653471546,2.377386165,1.658793912,1.657215644,2.390136683,2.001565402,1.417619131,2.754652245,1.662881111,1.372767158,3.254066828,1.926529054,1,2.857544164,1.445062981,1.023575377
spark,sort,medium,3.052913216,2.43976762,1.993124271,2.880740984,2.061283669,1.950046336,2.869121999,2.194892031,1.541966857,3.256793519,2.022191663,1.70302831,3.354568374,1.622373023,1.09631999,2.843123773,1.28307076,1
spark,sort,small,3.12972491,2.47094006,1.908130096,2.922265357,2.135538756,1.787098092,2.665211657,1.960101789,1.371213106,3.160744469,1.638297082,1.307056485,2.357709382,1.577130969,1.070769174,3.696899902,1.444099783,1
spark,terasort,large,2.537459807,1.990328313,1.478575055,2.45577932,1.829950076,1.402982738,2.905720088,1.939748688,1.387662887,2.91435099,1.749344221,1.446408022,3.374344221,1.717177187,1.070371467,3.22043493,1.614900998,1
spark,terasort,medium,2.599709279,1.979961445,1.521021143,2.504551098,1.760398276,1.449969119,2.863560649,1.903469315,1.162429581,2.824943384,1.538713964,1.257606478,1.268474213,1.563606191,1.034923982,2.662301689,1.313648302,1
spark,terasort,small,2.746811262,2.123966256,1.389518397,2.703741057,1.837068853,1.354421518,2.631696349,1.685836665,1.072531175,2.67980921,1.644391974,1.043841435,2.115565786,1.495259904,1.154281511,2.301977907,1.420747262,1
spark,wordcount,large,4.408754767,4.400176864,1.41639308,2.775802797,1.927331012,1.372674515,3.261902393,2.49290886,1.460454319,4.480218869,2.427181783,1,4.062278229,1.67391809,1.099110153,3.104316587,1.609694357,1.239717018
spark,wordcount,medium,4.478109082,3.428598632,3.284034467,4.23449228,1.596077249,2.890267706,2.482949045,1.411634956,1,2.574622721,1.387451005,2.871130013,2.465207801,1.417077931,1.038434073,2.468318073,2.689448879,1.449640573
