framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
spark,aggregation,large,1.301826327,2.079605681,1.85077499,1.016184466,2.536014558,1.526900988,1.424398769,1.726352617,2.374413319,1,1.117264181,1.61907722,1.677788679,2.076706936,2.917932641,1.309091724,1.527202786,2.196171763
spark,aggregation,medium,1.300542531,1.310291503,1.768860088,1.99744327,1.076890432,1.585292432,2.797988897,1.621050383,2.340522316,1,1.178431459,1.565214314,1.701729464,2.031864157,2.965511125,1.320628168,1.495210156,2.181724776
spark,aggregation,small,1.361322113,1.376863015,8.361670848,1.070960788,1.138357005,1.732234984,1.425239223,1.775048053,5.581761791,1,1.148126342,1.588075979,1.747489108,2.061345981,2.93310424,1.291141722,1.578244821,2.130525095
spark,als,large,1.789983925,1,3.278984887,1.679915269,2.498161698,3.496375034,1.152013581,1.839573259,3.308291059,1.233152189,1.981988426,2.911191383,1.836427853,1.636173485,5.351743024,1.530312853,2.363352351,3.851088594
spark,als,medium,1,3.172699979,4.963443639,1.674474046,3.192222752,4.785288547,2.023219388,3.132818288,4.497802237,1.457612706,2.721270315,1.833730267,1.930454244,2.122140784,6.474794511,1.207506967,1.647990969,6.088545525
spark,als,small,1.715382835,3.365811591,2.024336768,1,2.103084525,6.541191584,2.513615435,1.647900964,6.665562945,1.058385507,1.20728885,1.855376095,1.916911983,2.334085361,3.198287819,1.443595459,1.584720375,8.409174401
spark,bayes,large,3.130100397,2.089082465,1.749699345,3.208057435,3.043073422,1.117450398,3.243922951,1.341932663,1.814954842,2.450162258,1,1.319052221,1.700402305,1.619668743,4.975559403,1.446518009,1.31857511,1.64170908
spark,bayes,medium,3.153743997,1.193139326,1.722671779,3.568634622,1,1.51251865,2.014054033,1.560964909,2.452902568,1.598853555,1.613719474,3.775849595,1.796133432,3.65095204,5.363630735,1.338950382,2.859367005,2.158399701
spark,bayes,small,2.316762825,1.513187692,3.697757034,1.924694239,1.045325497,3.057944019,1.669766268,1.559033522,6.337373266,1,1.813259,1.553106588,1.281175072,3.450071308,6.565602086,1.403323682,1.926916461,6.374504516
spark,join,large,1.217461868,1.502942264,2.110869106,1,3.651573908,1.731118388,2.187794649,1.909121493,2.83526914,1.859530801,1.30510605,6.314559743,1.966778773,2.394017872,3.579945232,1.528090935,1.762525351,2.59565785
