framework,workload,datasize,c3.large,c3.xlarge,c3.2xlarge,c4.large,c4.xlarge,c4.2xlarge,m3.large,m3.xlarge,m3.2xlarge,m4.large,m4.xlarge,m4.2xlarge,r3.large,r3.xlarge,r3.2xlarge,r4.large,r4.xlarge,r4.2xlarge
hadoop,aggregation,large,1.264144829,1.351989864,1.599223952,1,1.093046676,1.320421938,1.68001711,1.906768727,2.139930606,1.111310555,1.280440881,1.496305943,2.107590337,2.304933137,2.706278846,1.636057031,1.71817392,2.001962653
hadoop,aggregation,medium,1.260940042,1.405628944,1.631077448,1,1.117259442,1.326689625,1.691489265,1.915902565,2.23986217,1.11869354,1.28685426,1.501997839,2.153625145,2.433113802,2.71451327,1.656297057,1.77271956,2.031752214
hadoop,aggregation,small,1.26183386,1.413006041,1.996955115,1,1.098046822,1.320447303,1.680972046,1.832614818,2.152076809,1.120999437,1.30180666,1.497399288,2.136252493,2.363343704,2.647941286,1.639901335,1.942067323,2.031438895
hadoop,join,large,1.287584549,1.40607382,2.168096137,1,1.105748604,1.338594466,1.711191645,1.852973505,2.218652017,1.19121357,1.270690374,1.49528878,2.144805494,2.344450668,2.767237196,1.6635802,1.686299742,2.022865579
hadoop,join,medium,1.264729328,1.386361128,2.131753374,1,1.093229425,1.323264642,1.704374797,1.786018499,2.216296376,1.173683191,1.262173291,1.466438074,2.136945976,2.341008006,2.728923889,1.645052484,1.652440975,2.001874199
hadoop,join,small,1.282457472,1.403942811,1.656918182,1,1.092129187,1.303917923,1.68591617,1.808231785,2.242458769,1.191892096,1.251304311,1.467775563,2.114235784,2.373647424,2.705943684,1.642267268,1.669514261,2.099828543
hadoop,pagerank,large,1.071256178,1.814150571,1.873100687,1.199486993,1,1.874252588,1.477399314,1.822040881,1.929746303,1.208665991,1.132729926,1.986435491,1.788858211,2.401505544,3.461482261,1.720462037,1.657973656,2.701933982
hadoop,pagerank,medium,1.238194929,1.070819376,1.302593947,1.029445106,1.158054405,1.849274301,1.322301408,1.635831024,2.608712492,1.050424389,1,1.672232614,1.708897693,2.036961359,2.072485334,1.232969478,1.454850989,2.284489656
hadoop,pagerank,small,1.101494252,1.551568387,1.446504095,1,1.197103624,1.244310902,1.511646253,1.886940297,2.194958465,1.101028804,1.070839698,1.572926354,1.790009634,2.575922715,2.320635526,1.352549439,1.954127231,1.947395474
hadoop,scan,large,1.274739745,1.355602401,1.561619701,1,1.071660352,1.237018311,1.735505116,1.764474544,1.984755167,1.419621254,1.222576121,1.324660956,2.176100001,2.903038992,2.516635514,1.631224834,1.590167469,1.784347364
hadoop,scan,medium,1.163754181,1.872491639,3.774916388,1,1.696998726,3.160261984,1.680822185,2.533439242,4.720345596,1.147435897,1.892419175,3.566013696,2.042349896,35.15658505,6.091067447,1.453012821,2.405501672,4.628416945
hadoop,scan,small,1.164377622,1.982601399,3.93834965,1,1.701897303,3.251433367,1.697351049,2.616525874,4.949034965,1.118121878,1.869090909,3.298461538,2.02456983,3.294204995,6.364601399,1.471583217,2.423709091,4.650987413
hadoop,sort,large,1.128535831,1.54973001,1.822552636,1,1.358751408,1.63521068,1.438275283,1.571610147,1.88608941,1.162259226,1.078929753,1.32335382,1.744546233,1.872772223,2.021945318,1.437701594,1.312829703,1.45062553
hadoop,sort,medium,1.101171404,3.954063619,1.452156812,1,1.059294684,1.299868241,2.85030786,1.338217036,2.525837771,1.029997464,1.105373012,2.572403941,1.875293265,1.836806063,2.122055604,1.363797597,1.288713303,1.677336314
hadoop,sort,small,3.786615921,1,1.198894656,4.308676892,5.999777821,9.140636259,1.133167046,1.173693336,1.561880953,1.9752085,3.333712351,1.009927597,1.425458892,1.509568785,1.523356838,1.323572451,1.23144401,1.088955902
hadoop,terasort,large,1.186231703,1.422895681,1.575767851,1.064707743,1.230779126,1.426903241,1.598048908,1.570206717,1.855520052,1.1490987,1.175605463,1.291011029,1.927787934,1.96576869,2.129527225,1,1.439681774,1.57186045
hadoop,terasort,medium,1.308644561,4.034921617,1.426956175,1,1.156580187,1.222549648,1.776746279,1.459842274,1.763049392,1.067357938,1.124465509,1.240523286,1.853880359,1.942709395,2.372927318,1.938417651,1.468453571,1.740669792
hadoop,terasort,small,4.903249469,1.176737806,1.37580635,2.800965958,1,1.136976601,1.437891861,1.515886619,1.846592247,1.048385756,1.082320964,1.283027623,1.846269105,1.978710882,1.951954756,1.413311015,1.41266249,1.415873565
