id, ex_name,count,machine_id,name,disk_count,speed,cost,size,name,ram,cpu_count,speed,cost, time, cost
57,spark,20,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,942.58,2.073676
58,spark,28,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,675.61,2.0808788
59,spark,4,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,5069.17,2.2304348
60,spark,8,3,ebs,2,slow,0.12,500,c4.xlarge,7.5,4,fast,0.276,2739.26,2.4105488
61,spark,10,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,413.38,2.15416911111
62,spark,14,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,397.4,2.89925377778
63,spark,2,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,7803.09,8.1325538
64,spark,4,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,705.83,1.47126342222
65,spark,6,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,533.54,1.66820173333
66,spark,8,12,local,3,fast,0,500,i2.2xlarge,61,8,slow,1.876,446.91,1.86311813333
67,spark,12,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,510.31,1.59556926667
68,spark,16,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,469.52,1.95737671111
69,spark,20,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,439.66,2.29111711111
70,spark,28,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,473.37,3.45349713333
71,spark,4,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,5186.72,5.40571484444
72,spark,8,5,local,2,fast,0,500,i2.xlarge,30.5,4,slow,0.938,648.12,1.35097013333
73,spark,10,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,429.24,0.844172
74,spark,14,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,408.35,1.12432366667
75,spark,2,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,8813.93,3.46681246667
76,spark,4,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,2827.82,2.22455173333
77,spark,6,6,ebs,2,slow,0.12,500,m4.2xlarge,32,8,slow,0.588,1271.12,1.4999216
78,spark,16,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,2191.92,2.6010784
79,spark,24,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,1625.18,2.8928204
80,spark,32,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,591.51,1.4038504
81,spark,40,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,549.06,1.628878
82,spark,56,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,540.45,2.244669
83,spark,8,7,ebs,2,slow,0.12,500,m4.large,8,2,slow,0.147,5449.65,3.233459
84,spark,12,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,1182.67,1.6320846
85,spark,16,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,476.11,0.8760424
86,spark,20,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,417.88,0.961124
87,spark,28,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,453.31,1.4596582
88,spark,4,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,5857.7,2.694542
89,spark,8,8,ebs,2,slow,0.12,500,m4.xlarge,16,4,slow,0.294,2456.36,2.2598512
90,spark,10,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,420.05,1.050125
91,spark,14,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,393.83,1.378405
92,spark,2,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,7612.24,3.80612
93,spark,4,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,707,0.707
94,spark,6,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,553.86,0.83079
95,spark,8,9,ebs,2,slow,0.12,500,r3.2xlarge,61,8,slow,0.78,513.39,1.02678
96,spark,16,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,1731.75,2.42445
97,spark,32,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,579.81,1.623468
98,spark,40,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,674.37,2.360295
99,spark,56,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,722.39,3.539711
100,spark,8,10,ebs,2,slow,0.12,500,r3.large,15.25,2,slow,0.195,4029.94,2.820958
101,spark,12,11,ebs,2,slow,0.12,500,r3.xlarge,30.5,4,slow,0.39,543.5,0.92395
