id,exp_id,config_id,time,num
1,kmeans,1,936.59,1
2,kmeans,2,837.68,1
3,kmeans,3,2804.23,1
4,kmeans,4,2422.51,1
5,kmeans,5,1219.74,1
6,kmeans,6,4385.07,1
7,kmeans,7,2563.61,1
8,kmeans,8,1702.94,1
9,kmeans,9,1341.39,1
10,kmeans,10,1130.05,1
11,kmeans,11,1334.33,1
12,kmeans,12,2927.78,1
13,kmeans,13,509.41,1
14,kmeans,14,1481.37,1
15,kmeans,15,669.5,1
16,kmeans,16,576.96,1
17,kmeans,17,626.32,1
18,kmeans,18,567.32,1
19,kmeans,19,534.65,1
20,kmeans,20,551.56,1
21,kmeans,21,1535.11,1
22,kmeans,22,518.21,1
23,kmeans,23,500.51,1
24,kmeans,24,2827.75,1
25,kmeans,25,1427.25,1
26,kmeans,26,2290.87,1
27,kmeans,27,1306.01,1
28,kmeans,28,949.94,1
29,kmeans,29,904.27,1
30,kmeans,30,1273.45,1
31,kmeans,31,861.06,1
32,kmeans,32,513.9,1
33,kmeans,33,2146.97,1
34,kmeans,34,542.99,1
35,kmeans,35,520.03,1
36,kmeans,36,1509.87,1
37,kmeans,37,662.69,1
38,kmeans,38,589.8,1
39,kmeans,39,1582.1,1
40,kmeans,40,714.84,1
41,kmeans,41,702.86,1
42,kmeans,42,765.53,1
43,kmeans,43,638.62,1
44,kmeans,44,566.4,1
45,kmeans,45,534.74,1
46,kmeans,46,558.32,1
47,kmeans,47,1193.13,1
48,spark,2,694.54,1
49,spark,48,7576.74,1
50,spark,3,3059.14,1
51,spark,4,2205.41,1
52,spark,5,1185.96,1
53,spark,6,3211.84,1
54,spark,49,1205.88,1
55,spark,50,5944.13,1
56,spark,9,1057.33,1
57,spark,10,942.58,1
58,spark,11,675.61,1
59,spark,51,5069.17,1
60,spark,12,2739.26,1
61,spark,52,413.38,1
62,spark,53,397.4,1
63,spark,54,7803.09,1
64,spark,55,705.83,1
65,spark,56,533.54,1
66,spark,57,446.91,1
67,spark,17,510.31,1
68,spark,18,469.52,1
69,spark,19,439.66,1
70,spark,20,473.37,1
71,spark,58,5186.72,1
72,spark,21,648.12,1
73,spark,22,429.24,1
74,spark,23,408.35,1
75,spark,59,8813.93,1
76,spark,24,2827.82,1
77,spark,25,1271.12,1
78,spark,26,2191.92,1
79,spark,27,1625.18,1
80,spark,60,591.51,1
81,spark,28,549.06,1
82,spark,29,540.45,1
83,spark,61,5449.65,1
84,spark,30,1182.67,1
85,spark,62,476.11,1
86,spark,31,417.88,1
87,spark,32,453.31,1
88,spark,63,5857.7,1
89,spark,33,2456.36,1
90,spark,34,420.05,1
91,spark,35,393.83,1
92,spark,64,7612.24,1
93,spark,36,707,1
94,spark,37,553.86,1
95,spark,38,513.39,1
96,spark,39,1731.75,1
97,spark,40,579.81,1
98,spark,41,674.37,1
99,spark,42,722.39,1
100,spark,65,4029.94,1
101,spark,43,543.5,1
102,spark,44,465.18,1
103,spark,45,432.32,1
104,spark,46,441.84,1
105,spark,66,5149.76,1
106,spark,47,675.19,1
107,terasort-05,8,1248.44,1
108,terasort-05,67,576.01,1
109,terasort-05,11,535.69,1
110,terasort-05,17,1130.8,1
111,terasort-05,68,524.6,1
112,terasort-05,26,1843.55,1
113,terasort-05,62,973.51,1
114,terasort-05,69,598.76,1
115,terasort-05,70,727.79,1
116,terasort-10,8,1285.82,1
117,terasort-10,67,616.43,1
118,terasort-10,11,520.87,1
119,terasort-10,17,1203.27,1
120,terasort-10,68,547.52,1
121,terasort-10,26,1972.36,1
122,terasort-10,62,928.5,1
123,terasort-10,69,617.23,1
124,terasort-10,70,743.66,1
125,terasort-100,11,489.76,1
126,terasort-100,17,1069.69,1
127,terasort-100,30,1148.07,1
128,terasort-100,43,1527.44,1
129,terasort-125,8,1417.61,1
130,terasort-125,11,618.46,1
131,terasort-125,17,1333.91,1
132,terasort-125,30,1536.89,1
133,terasort-125,43,1942.26,1
134,terasort-150,8,1699.75,1
135,terasort-150,11,693.05,1
136,terasort-150,17,1651.54,1
137,terasort-150,30,1831.07,1
138,terasort-150,43,2262.35,1
139,terasort-20,8,1399.16,1
140,terasort-20,67,698.45,1
141,terasort-20,11,574.12,1
142,terasort-20,17,1263.53,1
