id,exp_id,config_id,time,cost
1,1,1,936.59,1.7483013333333337
2,1,2,837.68,2.1891370666666665
3,1,3,2804.23,2.093825066666667
4,1,4,2422.51,2.7132112000000004
5,1,5,1219.74,1.8214784
6,1,6,4385.07,5.0282136
7,1,7,2563.61,4.409409200000001
8,1,8,1702.94,2.2478808000000003
9,1,9,1341.39,2.3608464000000002
10,1,10,1130.05,2.4861099999999996
11,1,11,1334.33,4.1097364
12,1,12,2927.78,2.5764464000000005
13,1,13,509.41,3.7164289555555556
14,1,14,1481.37,3.0878334666666665
15,1,15,669.5,2.0933033333333335
16,1,16,576.96,2.4052821333333334
17,1,17,626.32,1.9582938666666667
18,1,18,567.32,2.365094044444444
19,1,19,534.65,2.7861205555555553
20,1,20,551.56,4.023936622222222
21,1,21,1535.11,3.1998515111111105
22,1,22,518.21,1.0191463333333333
23,1,23,500.51,1.3780708666666663
24,1,24,2827.75,2.2244966666666666
25,1,25,1427.25,1.6841549999999998
26,1,26,2290.87,2.718499066666667
27,1,27,1306.01,2.3246978
28,1,28,949.94,2.8181553333333333
29,1,29,904.27,3.755734733333334
30,1,30,1273.45,1.7573610000000002
31,1,31,861.06,1.980438
32,1,32,513.9,1.6547579999999997
33,1,33,2146.97,1.9752123999999995
34,1,34,542.99,1.357475
35,1,35,520.03,1.8201049999999999
36,1,36,1509.87,1.50987
37,1,37,662.69,0.9940350000000002
38,1,38,589.8,1.1796
39,1,39,1582.1,2.21494
40,1,40,714.84,2.001552
41,1,41,702.86,2.46001
42,1,42,765.53,3.7510969999999997
43,1,43,638.62,1.085654
44,1,44,566.4,1.2838399999999999
45,1,45,534.74,1.5150966666666665
46,1,46,558.32,2.214669333333334
47,1,47,1193.13,1.352214
48,2,2,694.54,1.8150645333333335
49,2,48,7576.74,2.8286496
50,2,3,3059.14,2.284157866666667
51,2,4,2205.41,2.4700592
52,2,5,1185.96,1.7710336000000002
53,2,6,3211.84,3.682909866666667
54,2,49,1205.88,2.7654848000000003
55,2,50,5944.13,3.407967866666667
56,2,9,1057.33,1.8609008
57,2,10,942.58,2.073676
58,2,11,675.61,2.0808788000000003
59,2,51,5069.17,2.2304348
60,2,12,2739.26,2.4105488000000004
61,2,52,413.38,2.154169111111111
62,2,53,397.4,2.8992537777777776
63,2,54,7803.09,8.132553799999998
64,2,55,705.83,1.4712634222222223
65,2,56,533.54,1.6682017333333332
66,2,57,446.91,1.8631181333333333
67,2,17,510.31,1.5955692666666668
68,2,18,469.52,1.957376711111111
69,2,19,439.66,2.291117111111111
